MD,Incl,Azi,TVD,NS,EW,VS,DLS,Build,Turn
1290.0,21.49,284.19,1271.07,18.35,-142.15,-42.63,1.71,-1.71,-0.09
1300.0,20.95,283.85,1280.39,19.23,-145.66,-43.2,1.662,-1.62,-1.02
1310.0,20.83,283.6,1289.73,20.08,-149.13,-43.78,0.448,-0.36,-0.75
1320.0,20.85,283.68,1299.08,20.92,-152.59,-44.36,0.104,0.06,0.24
1330.0,21.02,283.73,1308.42,21.76,-156.06,-44.94,0.513,0.51,0.15
1340.0,21.31,283.42,1317.74,22.61,-159.57,-45.53,0.933,0.87,-0.93
1350.0,21.61,283.17,1327.05,23.45,-163.13,-46.15,0.941,0.9,-0.75
1357.7,21.89,282.71,1334.2,24.09,-165.91,-46.65,1.264,1.079,-1.776
1360.0,21.97,282.58,1336.33,24.28,-166.75,-46.8,1.264,1.082,-1.749
1370.0,22.45,281.18,1345.59,25.06,-170.44,-47.53,2.143,1.44,-4.2
1380.0,23.22,278.29,1354.81,25.71,-174.27,-48.43,4.081,2.31,-8.67
1390.0,23.84,276.25,1363.98,26.21,-178.23,-49.51,3.07,1.86,-6.12
1400.0,24.53,274.57,1373.1,26.6,-182.31,-50.75,2.924,2.07,-5.04
1410.0,25.42,271.77,1382.17,26.83,-186.52,-52.19,4.439,2.67,-8.4
1420.0,26.38,269.11,1391.16,26.86,-190.89,-53.87,4.521,2.88,-7.98
1430.0,27.21,266.65,1400.09,26.7,-195.39,-55.78,4.155,2.49,-7.38
1440.0,27.94,264.45,1408.95,26.34,-200.01,-57.92,3.759,2.19,-6.6
1450.0,28.74,261.88,1417.75,25.77,-204.72,-60.29,4.376,2.4,-7.71
1460.0,29.48,260.21,1426.49,25.01,-209.52,-62.86,3.297,2.22,-5.01
1470.0,29.92,259.85,1435.18,24.15,-214.4,-65.56,1.424,1.32,-1.08
1480.0,30.4,259.6,1443.82,23.26,-219.35,-68.32,1.488,1.44,-0.75
1490.0,31.22,259.49,1452.41,22.33,-224.38,-71.15,2.466,2.46,-0.33
1500.0,31.87,259.45,1460.93,21.37,-229.53,-74.04,1.951,1.95,-0.12
1510.0,32.35,259.26,1469.4,20.39,-234.75,-76.99,1.472,1.44,-0.57
1520.0,32.72,259.31,1477.84,19.39,-240.04,-79.97,1.113,1.11,0.15
1530.0,33.21,259.32,1486.23,18.38,-245.38,-82.99,1.47,1.47,0.03
1540.0,33.41,259.4,1494.58,17.37,-250.78,-86.04,0.614,0.6,0.24
1550.0,33.61,259.49,1502.92,16.36,-256.21,-89.09,0.618,0.6,0.27
1560.0,33.95,259.53,1511.23,15.34,-261.67,-92.16,1.022,1.02,0.12
1570.0,34.05,259.37,1519.52,14.32,-267.17,-95.25,0.403,0.3,-0.48
